ticker,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
K55206BU2555,0.291,0.287,-0.231,0.841,0.003,0.004,9152.0,2623.0,1.01
K55223C05630,0.502,0.331,-0.145,1.096,0.003,0.004,9315.0,2542.0,1.0
K55102C13374,-0.002,0.061,-0.123,0.107,0.001,0.001,9587.0,2676.0,1.0
K55102BT6562,0.002,0.153,-0.294,0.288,0.002,0.003,8030.0,2756.0,1.0
K55214B25852,0.048,0.027,-0.003,0.098,0.0,0.0,9327.0,2830.0,1.0
K55213C51874,0.2,0.125,-0.029,0.445,0.001,0.001,9567.0,2755.0,1.0
K55301C62528,0.229,0.344,-0.451,0.837,0.004,0.005,8917.0,2544.0,1.0
K55213C50686,0.202,0.123,-0.036,0.429,0.001,0.001,8041.0,2886.0,1.0
K55213C51262,0.113,0.111,-0.086,0.329,0.001,0.001,8738.0,2453.0,1.0
K55213C50546,0.073,0.102,-0.119,0.271,0.001,0.001,8766.0,3027.0,1.0
K55203C53681,0.245,0.245,-0.223,0.701,0.003,0.003,8412.0,2885.0,1.0
K55213C51049,0.152,0.115,-0.06,0.371,0.001,0.001,9107.0,2914.0,1.0
K55223C89204,-0.082,0.516,-0.985,0.959,0.005,0.009,9293.0,2887.0,1.0
K55213C50702,0.206,0.123,-0.041,0.424,0.001,0.001,7347.0,2441.0,1.0
K55213C51890,0.199,0.124,-0.038,0.428,0.001,0.001,8536.0,2360.0,1.0
K55213C51064,0.151,0.117,-0.071,0.368,0.001,0.001,8573.0,2955.0,1.0
K55232C70312,0.088,0.366,-0.677,0.714,0.004,0.007,9582.0,3151.0,1.0
K55102C83120,0.279,0.374,-0.454,0.955,0.004,0.005,7698.0,2562.0,1.0
K55213C51718,0.177,0.121,-0.059,0.4,0.001,0.001,8545.0,2490.0,1.0
K55229BX9378,0.164,0.167,-0.151,0.466,0.002,0.002,7990.0,2600.0,1.0
K55206C96311,0.145,0.132,-0.102,0.398,0.001,0.002,8862.0,2998.0,1.0
K55206C96121,0.157,0.131,-0.086,0.408,0.001,0.001,7777.0,2918.0,1.01
K55206C95800,0.137,0.125,-0.1,0.365,0.002,0.001,6491.0,3027.0,1.0
K55206C95974,0.147,0.129,-0.088,0.39,0.001,0.002,9338.0,2565.0,1.01
K55301CH3249,0.056,0.013,0.032,0.081,0.0,0.0,7243.0,3096.0,1.0
K55214CD4809,0.057,0.039,-0.016,0.13,0.0,0.0,7686.0,3106.0,1.0
K55101CH6269,0.064,0.044,-0.015,0.153,0.001,0.0,7438.0,3112.0,1.0
K55234CJ0997,0.0,0.119,-0.215,0.225,0.001,0.002,7327.0,2816.0,1.0
K55234CJ0971,-0.005,0.122,-0.226,0.228,0.001,0.002,7167.0,3013.0,1.0
K55105CK1592,0.052,0.077,-0.091,0.2,0.001,0.001,9521.0,2834.0,1.0
K55223CN9433,0.013,0.29,-0.515,0.582,0.003,0.005,7517.0,3216.0,1.0
K55210CO3828,0.126,0.066,0.003,0.251,0.001,0.001,6557.0,2815.0,1.0
K55364CF7048,0.224,0.092,0.04,0.385,0.001,0.001,6734.0,3190.0,1.0
