ticker,date,price,price_after_fees
K55302B62742,2019-12-31,1269.2,1238.8
K55302B62742,2020-01-31,1284.2,1253.8
K55302B62742,2020-03-31,941.3,909.4
K55302B62742,2020-06-30,1116.9,1083.2
K55302B62742,2020-07-31,1182.6,1148.9
K55302B62742,2020-08-31,1219.6,1185.9
K55302B62742,2020-11-30,1187.5,1151.9
K55302B62742,2020-12-31,1278.0,1240.4
K55302B62742,2021-03-31,1382.3,1342.4
K55302B62742,2021-04-30,1437.3,1397.4
K55302B62742,2021-05-31,1455.6,1415.7
K55302B62742,2021-06-30,1464.2,1421.9
K55302B62742,2021-08-31,1564.0,1521.7
K55302B62742,2021-09-30,1534.6,1489.8
K55302B62742,2021-11-30,1522.1,1477.3
K55302B62742,2021-12-31,1581.8,1534.4
K55302B62742,2022-02-28,1371.5,1324.1
K55302B62742,2022-03-31,1425.9,1376.2
K55302B62742,2022-05-31,1361.0,1311.3
K55302B62742,2022-06-30,1307.2,1255.4
K55302B62742,2022-08-31,1278.5,1226.7
K55302B62742,2022-09-30,1210.6,1156.8
K55302B62742,2022-10-31,1317.9,1264.1
K55302B62742,2022-11-30,1392.1,1338.3
K55302B62742,2023-01-31,1412.5,1356.5
K55302B62742,2023-02-28,1488.0,1432.0
K55302B62742,2023-03-31,1496.4,1438.0
K55302B62742,2023-05-31,1523.4,1465.0
K55302B62742,2023-06-30,1549.9,1489.0
K55302B62742,2023-07-31,1541.2,1480.3
K55302B62742,2023-08-31,1529.5,1468.6
K55302B62742,2023-10-31,1443.1,1379.8
K55302B62742,2023-11-30,1528.1,1464.8
K55302B62742,2024-01-31,1623.3,1557.3
K55302B62742,2024-02-29,1674.6,1608.6
K55302B62742,2024-04-30,1767.4,1698.5
K55302B62742,2024-05-31,1831.9,1763.0
K55302B62742,2024-07-31,1800.9,1729.1
K55302B62742,2024-09-30,1803.3,1728.6
K55302B62742,2024-10-31,1857.9,1783.2
K55302B62742,2024-12-31,1921.6,1843.8
K55302B62742,2025-01-31,1982.0,1904.2
K55302B62742,2025-02-28,2139.3,2061.5
K55302B62742,2025-03-31,2276.6,2195.0
K55303CK1428,2019-07-31,941.1,940.5
K55303CK1428,2019-09-30,941.7,941.1
K55303CK1428,2019-10-31,940.7,939.5
K55303CK1428,2019-12-31,944.2,943.0
K55303CK1428,2020-01-31,946.7,944.9
K55303CK1428,2020-03-31,949.0,947.2
K55303CK1428,2020-06-30,960.6,958.1
K55303CK1428,2020-07-31,964.3,961.2
K55303CK1428,2020-08-31,965.5,962.4
K55303CK1428,2020-11-30,971.3,967.6
K55303CK1428,2020-12-31,973.4,969.7
K55303CK1428,2021-03-31,978.7,974.4
K55303CK1428,2021-04-30,981.8,976.8
K55303CK1428,2021-05-31,982.9,977.9
K55303CK1428,2021-06-30,979.5,974.5
K55303CK1428,2021-08-31,983.0,977.4
K55303CK1428,2021-09-30,980.5,974.9
K55303CK1428,2021-11-30,979.1,972.8
K55303CK1428,2021-12-31,982.6,976.3
K55303CK1428,2022-02-28,980.6,973.7
K55303CK1428,2022-03-31,977.3,970.4
K55303CK1428,2022-05-31,974.7,967.2
K55303CK1428,2022-06-30,964.3,956.8
